ID,Name,Age,Proficiency,Objectives,Learning Type,Tell us more about yourself
51,Ethan Explorer,40,Advanced Intermediate,Travel,Live Class,Adventurous traveler who enjoys exploring off-the-beaten-path destinations. Seeks to enhance English skills to communicate with locals and immerse in different cultures.
52,Olivia Outdoor Enthusiast,35,Intermediate,Hobby,Mix,Loves outdoor activities like hiking and camping. Aims to improve English skills to connect with fellow outdoor enthusiasts and share passion for nature.
53,Max Musician,30,Advanced Intermediate,Hobby,Self Study,Musician in a local band. Aims to enhance English skills to collaborate with international artists and expand music career globally.
54,Lily Language Lover,28,Intermediate,Career,Live Class,Working in international business. Wants to improve English skills to communicate effectively with clients and colleagues globally.
55,Isabella Interpreter,45,Advanced,Career,Mix,Professional interpreter. Seeks to further refine English skills to excel in career and provide accurate translations for international clients.
56,Leo Literature Enthusiast,25,Intermediate,Hobby,Self Study,Avid reader. Aims to improve English skills to delve deeper into English literature and discuss literary works with fellow book enthusiasts.
57,Ava Adventurer,35,Advanced Intermediate,Travel,Live Class,Enjoys adventure travel and exploring remote destinations. Aims to enhance English skills to navigate different cultures and connect with fellow travelers.
58,Jack Journalist,32,Advanced,Career,Mix,Journalist covering global news and events. Seeks to improve English skills to report on international stories accurately and communicate effectively.
59,Emma Environmental Advocate,30,Advanced,Career,Self Study,Passionate about environmental conservation. Wants to improve English skills to advocate for environmental causes and engage globally.
60,Noah Nature Photographer,40,Advanced Intermediate,Hobby,Live Class,Nature photographer. Aims to enhance English skills to connect with photography enthusiasts worldwide and share work on a larger platform.
61,Sophia Social Entrepreneur,28,Advanced,Social,Mix,Working on community development projects. Aims to improve English skills to collaborate with international partners and scale impact globally.
62,Mia Multiculturalist,35,Intermediate,Social,Self Study,Passionate about multiculturalism. Seeks to enhance English skills to engage in cross-cultural dialogue and promote inclusivity.
63,William Wanderer,45,Advanced Intermediate,Travel,Live Class,Seasoned traveler who enjoys exploring different cultures and cuisines. Wants to improve English skills to navigate travel experiences smoothly and connect with locals deeply.
64,Ella Educator,40,Advanced Intermediate,Career,Mix,Educator in international schools. Aims to enhance English skills to deliver engaging lessons and communicate effectively with diverse audiences.
65,Lucas Linguist,30,Intermediate,School/Uni,Live Class,Studying linguistics. Aims to improve English proficiency to deepen understanding of language structures and theories.
66,Sophie Socializer,28,Advanced,Social,Mix,Works in public relations. Wants to improve English skills to communicate effectively in professional settings and expand social circle.
67,Oscar Outdoor Enthusiast,35,Advanced Intermediate,Hobby,Self Study,Avid camper and hiker. Aims to improve English skills to connect with outdoor enthusiasts globally and share passion for outdoors.
68,Emma Environmentalist,28,Advanced Intermediate,Hobby,Live Class,Dedicated to environmental conservation. Wants to improve English skills to collaborate with global organizations and advocate for change.
69,Adam Academic,25,Advanced Intermediate,School/Uni,Mix,Graduate student in sociology. Aims to enhance English proficiency to engage in academic research and communicate findings effectively.
70,Sarah Social Butterfly,30,Intermediate,Social,Self Study,Works in marketing. Aims to improve English skills to network with professionals from different industries and excel in career.
71,Hannah History Buff,50+,Advanced Intermediate,Hobby,Mix,Passionate about history. Wants to learn English to engage with historical documents and connect with fellow history enthusiasts.
72,Noah Nature Lover,28,Advanced Intermediate,Hobby,Live Class,Wildlife enthusiast and conservation advocate. Seeks to improve English skills to collaborate with international conservation organizations and raise awareness.
73,Ava Art Aficionado,35,Advanced Intermediate,Hobby,Self Study,Art lover. Wants to improve English skills to discuss art more fluently and connect with artists and collectors globally.
74,Ethan Explorer,40,Advanced Intermediate,Travel,Live Class,Adventurous traveler who enjoys exploring off-the-beaten-path destinations. Seeks to enhance English skills to communicate with locals and immerse in different cultures.
75,Olivia Outdoor Enthusiast,35,Intermediate,Hobby,Mix,Loves outdoor activities like hiking and camping. Aims to improve English skills to connect with fellow outdoor enthusiasts and share passion for nature.
76,Max Musician,30,Advanced Intermediate,Hobby,Self Study,Musician in a local band. Aims to enhance English skills to collaborate with international artists and expand music career globally.
77,Lily Language Lover,28,Intermediate,Career,Live Class,Working in international business. Wants to improve English skills to communicate effectively with clients and colleagues globally.
78,Isabella Interpreter,45,Advanced,Career,Mix,Professional interpreter. Seeks to further refine English skills to excel in career and provide accurate translations for international clients.
